offensive_binary_label	tweet_id	agreement_level	annotation	domain	split
1	1270166804166574082	A++	O++	BLM	train
0	1269049607939657728	A+	N+	BLM	train
0	1270013192329191431	A++	N++	BLM	train
0	1270410143809880065	A+	N+	BLM	train
0	1269063125145473027	A++	N++	BLM	train
1	1270184268422164481	A++	O++	BLM	train
1	1269351868867555328	A++	O++	BLM	train
0	1271554921582653440	A++	N++	BLM	train
0	1271140870335729669	A+	N+	BLM	train
0	1268569237402144773	A++	N++	BLM	train
0	1269020217327464448	A++	N++	BLM	train
0	1270351693981638656	A++	N++	BLM	train
0	1270971973443690496	A+	N+	BLM	train
0	1272632858042130432	A++	N++	BLM	train
0	1271056026738049024	A++	N++	BLM	train
1	1269006459498631170	A+	O+	BLM	train
1	1268349141664493568	A0	O0	BLM	train
0	1267948149051584512	A++	N++	BLM	train
0	1270859744815640576	A++	N++	BLM	train
0	1271822848177451009	A++	N++	BLM	train
0	1270926978158231552	A+	N+	BLM	train
0	1268663269541269506	A+	N+	BLM	train
1	1270530960753393665	A0	O0	BLM	train
0	1268891420984827904	A++	N++	BLM	train
0	1269470825075208193	A+	N+	BLM	train
0	1268683181152223232	A++	N++	BLM	train
0	1271794805639651328	A+	N+	BLM	train
0	1268487935885795328	A++	N++	BLM	train
0	1270324788536500224	A++	N++	BLM	train
0	1269704983236227072	A++	N++	BLM	train
0	1270295275983208449	A++	N++	BLM	train
1	1269198350588563457	A++	O++	BLM	train
0	1268684510427824129	A++	N++	BLM	train
0	1270488543496794113	A++	N++	BLM	train
0	1268284667066830849	A+	N+	BLM	train
0	1269900864262635520	A0	N0	BLM	train
1	1272003858663911431	A0	O0	BLM	train
0	1271559679957544961	A++	N++	BLM	train
0	1268022883479171073	A+	N+	BLM	train
0	1272789405502181376	A++	N++	BLM	train
0	1270718267640786944	A++	N++	BLM	train
0	1268839305981702145	A0	N0	BLM	train
0	1271993427769597952	A++	N++	BLM	train
0	1272651662080069633	A++	N++	BLM	train
0	1267885892879802369	A++	N++	BLM	train
0	1270184527240007681	A++	N++	BLM	train
1	1269728050452860928	A++	O++	BLM	train
0	1268870447485145094	A+	N+	BLM	train
0	1270036266789277697	A+	N+	BLM	train
1	1270435526278029313	A+	O+	BLM	train
0	1272187018450272258	A++	N++	BLM	train
0	1269489155140091906	A++	N++	BLM	train
0	1268828329768914944	A++	N++	BLM	train
1	1271175661416218624	A0	O0	BLM	train
0	1269081895163310080	A++	N++	BLM	train
0	1272891908436746241	A0	N0	BLM	train
0	1268055691484430336	A0	N0	BLM	train
0	1272307060659478528	A++	N++	BLM	train
0	1269488186239172608	A+	N+	BLM	train
0	1268488700461117443	A++	N++	BLM	train
0	1270311001867595777	A0	N0	BLM	train
0	1267827419395710976	A++	N++	BLM	train
0	1272975115727310848	A++	N++	BLM	train
0	1270404214511017984	A+	N+	BLM	train
1	1269562822561869825	A0	O0	BLM	train
0	1271827952301473793	A++	N++	BLM	train
1	1268578166861373440	A++	O++	BLM	train
1	1269938595718193154	A+	O+	BLM	train
0	1269278617462341632	A++	N++	BLM	train
0	1268684728972050434	A+	N+	BLM	train
0	1270536410794205184	A++	N++	BLM	train
0	1267889470440964096	A++	N++	BLM	train
1	1268684154012491777	A+	O+	BLM	train
0	1270121258705879046	A++	N++	BLM	train
0	1268986010190467073	A++	N++	BLM	train
0	1270506914544340992	A++	N++	BLM	train
0	1268877948280549380	A0	N0	BLM	train
0	1269325681047076864	A++	N++	BLM	train
0	1268924659589734400	A++	N++	BLM	train
1	1268884142453927938	A++	O++	BLM	train
0	1269454076011581444	A++	N++	BLM	train
0	1270247154250997761	A++	N++	BLM	train
0	1271545994497404935	A0	N0	BLM	train
1	1270490171272814594	A+	O+	BLM	train
0	1268803240675676162	A++	N++	BLM	train
0	1270808314386022403	A++	N++	BLM	train
1	1270209501480783872	A++	O++	BLM	train
0	1268208938492837890	A++	N++	BLM	train
0	1271120291184480256	A++	N++	BLM	train
0	1269009346840743942	A++	N++	BLM	train
0	1268261467415031808	A++	N++	BLM	train
1	1270927431214542850	A++	O++	BLM	train
0	1270062751407378433	A++	N++	BLM	train
1	1268282912736149506	A+	O+	BLM	train
1	1269647257827041281	A++	O++	BLM	train
0	1269789588240896000	A+	N+	BLM	train
0	1270465215533064194	A0	N0	BLM	train
0	1271533043891818497	A+	N+	BLM	train
0	1269765626907832320	A0	N0	BLM	train
1	1268673802466099200	A++	O++	BLM	train
0	1269675884560220162	A++	N++	BLM	train
1	1268393551160696833	A+	O+	BLM	train
0	1271588149186236429	A++	N++	BLM	train
0	1268254446691246080	A++	N++	BLM	train
0	1271084842600579072	A++	N++	BLM	train
0	1268878116518232065	A++	N++	BLM	train
1	1267835406164377608	A0	O0	BLM	train
0	1269774242624819200	A++	N++	BLM	train
0	1269393724922093574	A++	N++	BLM	train
0	1269022083822092289	A0	N0	BLM	train
0	1269739419034103811	A++	N++	BLM	train
0	1271914778676494336	A+	N+	BLM	train
0	1270394034494693376	A0	N0	BLM	train
0	1270287307548041216	A++	N++	BLM	train
0	1272525842929901573	A++	N++	BLM	train
1	1269591143827849216	A+	O+	BLM	train
0	1272806823322664961	A++	N++	BLM	train
0	1268597353075937291	A++	N++	BLM	train
0	1268274516553277445	A++	N++	BLM	train
1	1269844950948118528	A+	O+	BLM	train
0	1270180792162037760	A0	N0	BLM	train
0	1270131421072556033	A+	N+	BLM	train
0	1270108018315689984	A++	N++	BLM	train
0	1267944647361540097	A+	N+	BLM	train
1	1268557296562552838	A0	O0	BLM	train
0	1270233206902501376	A++	N++	BLM	train
0	1272639173665513472	A++	N++	BLM	train
0	1272204959723864064	A++	N++	BLM	train
0	1270638996171956230	A+	N+	BLM	train
0	1269060144488472576	A0	N0	BLM	train
0	1269978306193096705	A++	N++	BLM	train
1	1268993232995672065	A0	O0	BLM	train
0	1269523529462173697	A+	N+	BLM	train
0	1272330789515145220	A++	N++	BLM	train
0	1268292170789814273	A0	N0	BLM	train
0	1267798706151096320	A+	N+	BLM	train
